,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj.IHW,log2fc.shrunk
ascF,1187.44247535148,-0.961169597158052,0.0853028746613822,-11.2677280920896,1.89393834189698e-29,2.32587847341994e-27,2.06788285386689e-27,-0.941525157943277
intA,574.612438139586,-1.25225374097949,0.114238026272297,-10.9617942627494,5.83312456250713e-28,6.83773265314244e-26,6.07926436155038e-26,-1.21287400737887
mltB,789.184634142927,-1.07676797798638,0.0982421356870894,-10.9603478228119,5.92711262289731e-28,6.83773265314244e-26,6.07926436155038e-26,-1.04919956952306
galR,460.197208803107,-1.3327999242108,0.122237634901659,-10.9033516991968,1.11088291184958e-27,1.24386213100334e-25,1.10017760923282e-25,-1.28710713026423
dam,153.84647966176,-2.41785061251582,0.222198931206917,-10.8814682383159,1.41268941926706e-27,1.5366024626142e-25,1.36615645312602e-25,-2.35958204271224
hycG,657.892052111267,-1.16744207630389,0.107364757910688,-10.8736060046354,1.53991632439552e-27,1.62846151304826e-25,1.44203870537644e-25,-1.1334265485192
norR,627.232381007169,-1.15322396198362,0.106964016584823,-10.7814197596919,4.21331833443715e-27,4.33516294573033e-25,3.83888271952768e-25,-1.11962397079791
rnlA,926.380123054535,-0.993752424549953,0.0939435905597318,-10.5781822754379,3.76185429743727e-26,3.76878402903781e-24,3.3507356307036e-24,-0.969546514790527
yfjR,377.512246254938,-1.4464405948449,0.137396299621007,-10.5275076463831,6.45201763705849e-26,6.29816183186709e-24,5.57716167161745e-24,-1.38839723616663
hycD,559.854473489106,-1.16150389980108,0.111559973602471,-10.4114752118887,2.19789002129455e-25,2.04082129538253e-23,1.5428476704156e-23,-1.1249066416908
hycA,633.875740975787,-1.16819269727983,0.112041740381286,-10.4264062063334,1.87859634526267e-25,1.78795407160375e-23,1.5428476704156e-23,-1.13119952054642
yfjS,584.116291726193,-1.13639522830505,0.110223690713669,-10.3098999947034,6.35674335654397e-25,5.76193379961022e-23,5.09634500014854e-23,-1.10097848176209
actP,375.807658334527,-1.35910589045717,0.133366660174412,-10.1907469878887,2.18082006011043e-24,1.93078650438149e-22,1.7077520308589e-22,-1.30468188797748
norV,863.92367339675,-0.946550790823388,0.0936888724547907,-10.1031292833644,5.35069909010383e-24,4.62957078091483e-22,4.0930364441406e-22,-0.923151394569495
ypjF,329.573144653402,-1.41144249349715,0.143398327136642,-9.84281003607665,7.36251508814765e-23,6.22868776457291e-21,5.50918196051037e-21,-1.34838132238134
yfjV,747.758678493727,-1.08012297795779,0.110625493648512,-9.76377996006638,1.61038555427257e-22,1.30441229896078e-20,9.83735523370852e-21,-1.04528271219634
lhgO,672.872239489745,-1.00640999582116,0.102914726688572,-9.77906688579791,1.38481329207292e-22,1.14608352237426e-20,9.93289079428236e-21,-0.977263241225309
rfaH,80.95762841515,4.49301140626664,0.46388056658884,9.68570733476969,3.46799539002708e-22,2.75055384371523e-20,2.03022230124502e-20,4.3393119363775
ygfT,747.037621469818,-0.957347616365596,0.0989843927989125,-9.67170267246529,3.97705390088839e-22,3.08992738789431e-20,2.7471804473624e-20,-0.931110149251971
hycH,597.179826040291,-1.03278538947053,0.107952363086078,-9.56704753787571,1.10002132660892e-21,8.37556238080028e-20,6.18211985554211e-20,-1.00032890657451
ghxQ,614.758632001213,-1.016083041366,0.106804348194178,-9.51349882795683,1.84355311697696e-21,1.3761581796728e-19,1.21861852055312e-19,-0.984578288716933
mnmG,68.5698551324093,-4.65611493995137,0.491307696835302,-9.47698350736851,2.61739944570104e-21,1.91623840188151e-19,1.70368167574361e-19,-4.47994417960296
srlR,251.438240149201,-1.57018121585674,0.166453936152943,-9.4331275795966,3.98039652964331e-21,2.85912633742492e-19,2.52777392360549e-19,-1.48615676160148
dusB,82.5115292535565,-3.10775962384277,0.330250757787714,-9.41030277920041,4.94709753934012e-21,3.48770376523478e-19,3.0884388621143e-19,-3.03918361965218
gutQ,280.756027646415,-1.43804488237386,0.153733717923529,-9.35412804554155,8.42920940055485e-21,5.83454548871133e-19,5.16661914057277e-19,-1.36565702200404
gabP,741.020319948602,-0.927076539188518,0.0991955769626119,-9.34594633728422,9.10713656803856e-21,6.19122659187907e-19,5.50447130409464e-19,-0.901245472581229
cyaA,312.701839525526,-1.44852224797995,0.155046037510577,-9.34252994296052,9.40592330681086e-21,6.28216667175946e-19,5.55410822136645e-19,-1.37489448173676
topA,65.372819839905,-4.99094306442838,0.544799719468903,-9.16106026870535,5.13898838508219e-20,3.37312565207033e-18,2.98220437227253e-18,-4.76508424615408
ftsP,86.9643367675449,3.00530114714787,0.328150579380238,9.158299073626,5.27217277905104e-20,3.40189182539785e-18,3.02454055826331e-18,2.93437928430902
lldD,431.776514055725,1.14870354084517,0.125646623675011,9.14233512407254,6.1118103430509e-20,3.8779436626658e-18,3.42851756474899e-18,1.10274786295108
hisG,73.9040551577899,-3.17603594779305,0.34855742509468,-9.11194460118109,8.09183670257497e-20,4.97950595869234e-18,4.42715950570165e-18,-3.10002312427904
pncC,473.776080091317,-1.12660277594957,0.123643426263467,-9.1117078359583,8.10951850378053e-20,4.97950595869234e-18,4.42715950570165e-18,-1.0824459317944
srlA,448.556626243476,-1.12739042609382,0.124060105355206,-9.08745339902702,1.01385839786125e-19,6.12660146136155e-18,5.42524116714411e-18,-1.08292928972106
yggS,155.576404303718,-1.89635219866962,0.209463760014045,-9.05336655153363,1.38627003010536e-19,8.24614063220487e-18,7.29047156385707e-18,-1.78182989117612
csdA,413.716661363635,-1.13635814951113,0.126526209820101,-8.98120753895056,2.67811143424274e-19,1.56854926617879e-17,1.38676555877846e-17,-1.08999553453883
yfjD,496.481040361063,-1.04905627764501,0.117544636607485,-8.92474814608602,4.46714471103808e-19,2.57673029013969e-17,2.28175169135064e-17,-1.01042198645459
ypjD,455.728947197345,-1.0871365221772,0.121962517281628,-8.91369370203186,4.93600598015073e-19,2.80468280096027e-17,2.48360868395202e-17,-1.04486308027646
yafJ,135.076510569512,-2.05143247124612,0.234206187035206,-8.75908744006727,1.96837387377274e-18,1.10199990256659e-16,8.13401556661969e-17,-1.92769384761307
norW,706.235544892056,-0.888598884219372,0.102194514104676,-8.6951720648057,3.46304593312839e-18,1.91069795179997e-16,1.68998400400028e-16,-0.861962747522346
rffM,159.165022838594,1.83731526631741,0.212527834948771,8.64505708986442,5.37784029087126e-18,2.92477685533527e-16,2.5869217560685e-16,1.71385555538709
galE,75.9477420133499,2.98667103503568,0.34792086714548,8.58434005278226,9.13593606317474e-18,4.89866318204313e-16,3.61577187852409e-16,2.90355106586825
hypC,275.790377466693,-1.32036101709534,0.154648375750608,-8.53782660623997,1.36769951172665e-17,7.23171116825465e-16,6.39634128690374e-16,-1.24810966347658
cynX,116.883474309827,-2.0842469336563,0.244826542863056,-8.51315755752075,1.6925983725093e-17,8.70773243803093e-16,6.42729922533935e-16,-1.95319102455699
rlmD,520.414069486461,-0.982174477134932,0.115071145893495,-8.53536713750977,1.39711071395925e-17,7.28602806581215e-16,6.42729922533935e-16,-0.946448164008006
rhaD,281.352514987846,1.316382839976,0.1554024160529,8.47080034796814,2.43712649861969e-17,1.23708541069935e-15,1.09371600740631e-15,1.24350145938172
gshA,449.163875058058,-1.05587073920498,0.124843836263714,-8.4575319920049,2.73095634029652e-17,1.36799352467222e-15,1.20996998614779e-15,-1.01229290932676
yfjY,484.920135886005,-0.988267024592023,0.118690243523532,-8.32643859557074,8.33107243057305e-17,4.11901204457034e-15,3.64320507124149e-15,-0.950190413475869
tcdA,237.418002847366,-1.37664029563437,0.167829909224894,-8.20259214815909,2.35258281274805e-16,1.13370667951036e-14,8.47533038951542e-15,-1.29117417767368
waaB,67.502226941059,3.06900539523383,0.373262562720352,8.22210878280105,1.99955689782718e-16,9.75937578208725e-15,8.53274899842527e-15,2.97498625661691
srlD,495.551536134039,-0.970942444737305,0.118764721710466,-8.17534391318954,2.95023136834967e-16,1.4039413524134e-14,1.03626876813282e-14,-0.933218942061717
clpX,74.6690136613347,2.71067793160779,0.336020450967651,8.06700283807652,7.20448750621477e-16,3.38610912792094e-14,2.9949633099229e-14,2.60671790394287
gcvT,259.262793390354,-1.30454976099268,0.161948669332428,-8.05532868142841,7.92655188172733e-16,3.68004670899219e-14,3.25494674148359e-14,-1.22579208827124
ygbJ,570.70511370178,-0.888370772043827,0.111155858229727,-7.99211832999231,1.32639633711515e-15,6.08384440409322e-14,5.3787700944306e-14,-0.85701471844627
ygaZ,262.79376656349,-1.2869375237424,0.161439304180471,-7.97164934695051,1.56570530226204e-15,7.09600010203762e-14,6.2763068613387e-14,-1.20897145298977
slmA,53.4628734351906,4.25503171316087,0.535203535202772,7.95030569360639,1.86051841057078e-15,8.33293363416819e-14,7.36720587400018e-14,4.05895650056082
recJ,685.565865657385,-0.806885220048408,0.101597157354937,-7.9420058696081,1.98937522937411e-15,8.80645523049679e-14,7.82960846089003e-14,-0.782261879675029
waaJ,55.1544717060231,3.57281490009695,0.452314995079326,7.8989530282328,2.8125583882999e-15,1.23073675681123e-13,1.08810311736423e-13,3.44283148300533
ygeW,760.142949696766,-0.794506743990194,0.102191485022566,-7.77468635292606,7.56345707915831e-15,3.27205467049496e-13,2.90910545299586e-13,-0.76988298878535
gudX,546.756461578307,-0.863764665852227,0.111174345715205,-7.76946030395297,7.88212395157752e-15,3.3716006610849e-13,2.98562699419052e-13,-0.832990912831707
xanQ,644.157618807468,-0.824545167061903,0.106602878685402,-7.73473640890351,1.0361756376243e-14,4.3830229471508e-13,3.23517060191588e-13,-0.797086987406512
